year,species_id,sex,hindfoot_length,weight,genus,species,taxa
1991,NL,F,36,165,Neotoma,albigula,Rodent
1992,NL,F,36,220,Neotoma,albigula,Rodent
1992,NL,F,21,130,Neotoma,albigula,Rodent
1992,NL,F,32,114,Neotoma,albigula,Rodent
1992,NL,F,33,135,Neotoma,albigula,Rodent
1993,NL,M,32,78,Neotoma,albigula,Rodent
1993,NL,M,37,138,Neotoma,albigula,Rodent
1993,NL,M,32,148,Neotoma,albigula,Rodent
1993,NL,M,35,154,Neotoma,albigula,Rodent
1993,NL,M,34,160,Neotoma,albigula,Rodent
1993,NL,M,32,153,Neotoma,albigula,Rodent
1994,NL,M,NA,180,Neotoma,albigula,Rodent
1995,NL,F,32,165,Neotoma,albigula,Rodent
1995,NL,F,32,171,Neotoma,albigula,Rodent
1996,NL,M,33,127,Neotoma,albigula,Rodent
1996,NL,F,33,130,Neotoma,albigula,Rodent
1996,NL,M,33,148,Neotoma,albigula,Rodent
1997,NL,M,34,147,Neotoma,albigula,Rodent
1997,NL,F,32,144,Neotoma,albigula,Rodent
1997,NL,M,34,193,Neotoma,albigula,Rodent
1997,NL,F,30,178,Neotoma,albigula,Rodent
1997,NL,F,33,138,Neotoma,albigula,Rodent
1997,NL,F,33,174,Neotoma,albigula,Rodent
1997,NL,F,34,186,Neotoma,albigula,Rodent
1997,NL,F,33,181,Neotoma,albigula,Rodent
1998,NL,F,33,188,Neotoma,albigula,Rodent
1998,NL,F,33,190,Neotoma,albigula,Rodent
1998,NL,M,21,110,Neotoma,albigula,Rodent
1998,NL,F,34,158,Neotoma,albigula,Rodent
1998,NL,F,31,182,Neotoma,albigula,Rodent
1998,NL,M,30,132,Neotoma,albigula,Rodent
1998,NL,F,30,143,Neotoma,albigula,Rodent
1998,NL,M,31,178,Neotoma,albigula,Rodent
1998,NL,M,30,149,Neotoma,albigula,Rodent
1998,NL,M,34,168,Neotoma,albigula,Rodent
1998,NL,F,31,165,Neotoma,albigula,Rodent
1999,NL,F,34,162,Neotoma,albigula,Rodent
1999,NL,F,32,153,Neotoma,albigula,Rodent
1999,NL,M,34,220,Neotoma,albigula,Rodent
1999,NL,F,33,154,Neotoma,albigula,Rodent
1999,NL,F,33,200,Neotoma,albigula,Rodent
1999,NL,F,32,194,Neotoma,albigula,Rodent
1999,NL,F,33,195,Neotoma,albigula,Rodent
1999,NL,F,33,131,Neotoma,albigula,Rodent
2000,NL,F,30,137,Neotoma,albigula,Rodent
2000,NL,F,33,181,Neotoma,albigula,Rodent
2000,NL,M,34,265,Neotoma,albigula,Rodent
2000,NL,F,33,185,Neotoma,albigula,Rodent
2000,NL,F,31,144,Neotoma,albigula,Rodent
2000,NL,M,33,184,Neotoma,albigula,Rodent
2000,NL,F,33,158,Neotoma,albigula,Rodent
2000,NL,F,29,200,Neotoma,albigula,Rodent
2000,NL,M,32,228,Neotoma,albigula,Rodent
2000,NL,F,31,173,Neotoma,albigula,Rodent
2001,NL,M,33,121,Neotoma,albigula,Rodent
2001,NL,F,31,158,Neotoma,albigula,Rodent
2001,NL,F,32,252,Neotoma,albigula,Rodent
2001,NL,F,33,145,Neotoma,albigula,Rodent
2001,NL,M,32,135,Neotoma,albigula,Rodent
2001,NL,F,30,173,Neotoma,albigula,Rodent
2001,NL,F,33,193,Neotoma,albigula,Rodent
2001,NL,F,29,72,Neotoma,albigula,Rodent
2001,NL,F,31,119,Neotoma,albigula,Rodent
2001,NL,F,33,213,Neotoma,albigula,Rodent
2001,NL,F,33,126,Neotoma,albigula,Rodent
2001,NL,F,32,198,Neotoma,albigula,Rodent
2002,NL,M,33,120,Neotoma,albigula,Rodent
2002,NL,M,32,136,Neotoma,albigula,Rodent
2002,NL,F,32,196,Neotoma,albigula,Rodent
2002,NL,F,NA,190,Neotoma,albigula,Rodent
2002,NL,F,30,149,Neotoma,albigula,Rodent
2002,NL,F,31,188,Neotoma,albigula,Rodent
2002,NL,F,31,139,Neotoma,albigula,Rodent
2002,NL,M,36,226,Neotoma,albigula,Rodent
2002,NL,M,33,238,Neotoma,albigula,Rodent
2002,NL,M,33,248,Neotoma,albigula,Rodent
1977,OL,F,20,21,Onychomys,leucogaster,Rodent
1978,OL,F,22,38,Onychomys,leucogaster,Rodent
1978,OL,M,21,32,Onychomys,leucogaster,Rodent
1979,OL,F,19,31,Onychomys,leucogaster,Rodent
1979,OL,F,NA,39,Onychomys,leucogaster,Rodent
1979,OL,F,20,30,Onychomys,leucogaster,Rodent
1979,OL,F,21,34,Onychomys,leucogaster,Rodent
1979,OL,F,19,35,Onychomys,leucogaster,Rodent
1979,OL,M,21,36,Onychomys,leucogaster,Rodent
1980,OL,M,21,36,Onychomys,leucogaster,Rodent
1980,OL,F,21,38,Onychomys,leucogaster,Rodent
1980,OL,F,21,34,Onychomys,leucogaster,Rodent
1980,OL,F,23,41,Onychomys,leucogaster,Rodent
1980,OL,M,21,40,Onychomys,leucogaster,Rodent
1980,OL,M,NA,39,Onychomys,leucogaster,Rodent
1980,OL,F,NA,38,Onychomys,leucogaster,Rodent
1980,OL,M,NA,37,Onychomys,leucogaster,Rodent
1980,OL,M,21,39,Onychomys,leucogaster,Rodent
1981,OL,M,20,39,Onychomys,leucogaster,Rodent
1981,OL,F,20,34,Onychomys,leucogaster,Rodent
1981,OL,F,20,34,Onychomys,leucogaster,Rodent
1981,OL,F,NA,38,Onychomys,leucogaster,Rodent
1982,OL,F,21,27,Onychomys,leucogaster,Rodent
1982,OL,M,21,42,Onychomys,leucogaster,Rodent
1982,OL,F,21,43,Onychomys,leucogaster,Rodent
1982,OL,F,NA,33,Onychomys,leucogaster,Rodent
1982,OL,F,21,27,Onychomys,leucogaster,Rodent
1984,OL,F,19,28,Onychomys,leucogaster,Rodent
1985,OL,F,19,26,Onychomys,leucogaster,Rodent
1985,OL,M,19,32,Onychomys,leucogaster,Rodent
1985,OL,F,20,33,Onychomys,leucogaster,Rodent
1985,OL,F,21,25,Onychomys,leucogaster,Rodent
1985,OL,M,21,35,Onychomys,leucogaster,Rodent
1985,OL,M,20,37,Onychomys,leucogaster,Rodent
1986,OL,M,19,29,Onychomys,leucogaster,Rodent
1987,OL,M,18,32,Onychomys,leucogaster,Rodent
1987,OL,M,22,33,Onychomys,leucogaster,Rodent
1987,OL,M,21,27,Onychomys,leucogaster,Rodent
1987,OL,F,21,30,Onychomys,leucogaster,Rodent
1987,OL,M,22,32,Onychomys,leucogaster,Rodent
1987,OL,F,19,30,Onychomys,leucogaster,Rodent
1987,OL,M,21,32,Onychomys,leucogaster,Rodent
1987,OL,F,18,29,Onychomys,leucogaster,Rodent
1987,OL,M,20,25,Onychomys,leucogaster,Rodent
1988,OL,M,21,34,Onychomys,leucogaster,Rodent
1988,OL,F,21,33,Onychomys,leucogaster,Rodent
1988,OL,F,21,34,Onychomys,leucogaster,Rodent
1988,OL,M,22,36,Onychomys,leucogaster,Rodent
1989,OL,M,22,42,Onychomys,leucogaster,Rodent
1989,OL,M,22,41,Onychomys,leucogaster,Rodent
1989,OL,F,22,34,Onychomys,leucogaster,Rodent
1989,OL,M,22,42,Onychomys,leucogaster,Rodent
1989,OL,M,20,36,Onychomys,leucogaster,Rodent
1991,OL,M,19,17,Onychomys,leucogaster,Rodent
1991,OL,F,21,26,Onychomys,leucogaster,Rodent
1991,OL,M,19,18,Onychomys,leucogaster,Rodent
1991,OL,F,18,25,Onychomys,leucogaster,Rodent
1991,OL,F,20,24,Onychomys,leucogaster,Rodent
1992,OL,M,21,23,Onychomys,leucogaster,Rodent
1992,OL,F,18,24,Onychomys,leucogaster,Rodent
1992,OL,F,19,31,Onychomys,leucogaster,Rodent
1993,OL,M,21,26,Onychomys,leucogaster,Rodent
1995,OL,M,21,24,Onychomys,leucogaster,Rodent
1997,OL,M,20,32,Onychomys,leucogaster,Rodent
2002,OL,M,20,27,Onychomys,leucogaster,Rodent
1979,PM,F,19,26,Peromyscus,maniculatus,Rodent
1979,PM,M,21,26,Peromyscus,maniculatus,Rodent
1983,PM,M,20,19,Peromyscus,maniculatus,Rodent
1985,PM,M,20,19,Peromyscus,maniculatus,Rodent
1986,PM,F,19,18,Peromyscus,maniculatus,Rodent
1986,PM,F,20,20,Peromyscus,maniculatus,Rodent
1986,PM,M,21,20,Peromyscus,maniculatus,Rodent
1986,PM,M,18,25,Peromyscus,maniculatus,Rodent
1986,PM,M,19,23,Peromyscus,maniculatus,Rodent
1987,PM,M,25,27,Peromyscus,maniculatus,Rodent
1987,PM,M,21,25,Peromyscus,maniculatus,Rodent
1987,PM,F,21,32,Peromyscus,maniculatus,Rodent
1987,PM,M,21,25,Peromyscus,maniculatus,Rodent
1987,PM,F,19,24,Peromyscus,maniculatus,Rodent
1987,PM,F,20,18,Peromyscus,maniculatus,Rodent
1987,PM,F,21,27,Peromyscus,maniculatus,Rodent
1987,PM,F,NA,33,Peromyscus,maniculatus,Rodent
1995,PM,M,21,23,Peromyscus,maniculatus,Rodent
1996,PM,M,20,16,Peromyscus,maniculatus,Rodent
1996,PM,M,21,21,Peromyscus,maniculatus,Rodent
1997,PM,M,20,23,Peromyscus,maniculatus,Rodent
1997,PM,F,20,30,Peromyscus,maniculatus,Rodent
1997,PM,F,21,28,Peromyscus,maniculatus,Rodent
1997,PM,M,20,18,Peromyscus,maniculatus,Rodent
1997,PM,F,22,24,Peromyscus,maniculatus,Rodent
1997,PM,F,21,26,Peromyscus,maniculatus,Rodent
1997,PM,M,21,22,Peromyscus,maniculatus,Rodent
1997,PM,F,20,13,Peromyscus,maniculatus,Rodent
1997,PM,F,21,29,Peromyscus,maniculatus,Rodent
1997,PM,M,21,17,Peromyscus,maniculatus,Rodent
1998,PM,F,21,21,Peromyscus,maniculatus,Rodent
1999,PM,M,20,24,Peromyscus,maniculatus,Rodent
1999,PM,F,20,24,Peromyscus,maniculatus,Rodent
1999,PM,M,21,22,Peromyscus,maniculatus,Rodent
1999,PM,F,20,23,Peromyscus,maniculatus,Rodent
1999,PM,F,20,21,Peromyscus,maniculatus,Rodent
1989,RF,F,17,16,Reithrodontomys,fulvescens,Rodent
1978,NL,M,32,232,Neotoma,albigula,Rodent
1978,NL,F,NA,182,Neotoma,albigula,Rodent
1978,NL,F,34,115,Neotoma,albigula,Rodent
1978,NL,M,34,190,Neotoma,albigula,Rodent
1978,NL,F,34,141,Neotoma,albigula,Rodent
1980,NL,F,32,150,Neotoma,albigula,Rodent
1980,NL,F,33,154,Neotoma,albigula,Rodent
1981,NL,M,34,195,Neotoma,albigula,Rodent
1981,NL,F,NA,157,Neotoma,albigula,Rodent
1982,NL,F,34,163,Neotoma,albigula,Rodent
1982,NL,F,33,145,Neotoma,albigula,Rodent
1982,NL,M,35,211,Neotoma,albigula,Rodent
1982,NL,F,31,103,Neotoma,albigula,Rodent
1982,NL,M,33,114,Neotoma,albigula,Rodent
1982,NL,M,35,136,Neotoma,albigula,Rodent
1982,NL,M,35,173,Neotoma,albigula,Rodent
1982,NL,M,33,200,Neotoma,albigula,Rodent
1983,NL,F,33,110,Neotoma,albigula,Rodent
1983,NL,F,32,150,Neotoma,albigula,Rodent
1983,NL,M,34,226,Neotoma,albigula,Rodent
1984,NL,F,34,164,Neotoma,albigula,Rodent
1984,NL,M,36,241,Neotoma,albigula,Rodent
1984,NL,M,34,250,Neotoma,albigula,Rodent
1984,NL,M,33,220,Neotoma,albigula,Rodent
1984,NL,M,34,206,Neotoma,albigula,Rodent
1984,NL,M,33,211,Neotoma,albigula,Rodent
1984,NL,M,35,222,Neotoma,albigula,Rodent
1985,NL,F,31,141,Neotoma,albigula,Rodent
1985,NL,F,31,153,Neotoma,albigula,Rodent
1985,NL,M,33,103,Neotoma,albigula,Rodent
1985,NL,M,32,157,Neotoma,albigula,Rodent
1985,NL,F,30,146,Neotoma,albigula,Rodent
1985,NL,F,30,150,Neotoma,albigula,Rodent
1985,NL,M,33,225,Neotoma,albigula,Rodent
1986,NL,F,30,173,Neotoma,albigula,Rodent
1986,NL,F,30,176,Neotoma,albigula,Rodent
1986,NL,M,31,138,Neotoma,albigula,Rodent
1986,NL,F,32,174,Neotoma,albigula,Rodent
1986,NL,M,32,123,Neotoma,albigula,Rodent
1986,NL,F,30,172,Neotoma,albigula,Rodent
1986,NL,F,29,177,Neotoma,albigula,Rodent
1987,NL,F,33,176,Neotoma,albigula,Rodent
1987,NL,F,32,199,Neotoma,albigula,Rodent
1987,NL,F,29,69,Neotoma,albigula,Rodent
1987,NL,F,30,192,Neotoma,albigula,Rodent
1987,NL,F,NA,79,Neotoma,albigula,Rodent
1987,NL,M,32,140,Neotoma,albigula,Rodent
1987,NL,M,35,179,Neotoma,albigula,Rodent
1987,NL,M,33,180,Neotoma,albigula,Rodent
1987,NL,F,34,161,Neotoma,albigula,Rodent
1987,NL,M,33,186,Neotoma,albigula,Rodent
1988,NL,M,33,209,Neotoma,albigula,Rodent
1988,NL,M,32,226,Neotoma,albigula,Rodent
1988,NL,M,33,196,Neotoma,albigula,Rodent
1989,NL,M,31,198,Neotoma,albigula,Rodent
1989,NL,M,33,197,Neotoma,albigula,Rodent
1989,NL,M,33,192,Neotoma,albigula,Rodent
1989,NL,M,33,196,Neotoma,albigula,Rodent
1989,NL,M,33,203,Neotoma,albigula,Rodent
1989,NL,M,34,208,Neotoma,albigula,Rodent
1989,NL,F,33,161,Neotoma,albigula,Rodent
1991,NL,M,30,126,Neotoma,albigula,Rodent
1991,NL,M,32,71,Neotoma,albigula,Rodent
1991,NL,F,35,166,Neotoma,albigula,Rodent
1992,NL,F,32,166,Neotoma,albigula,Rodent
1992,NL,F,35,174,Neotoma,albigula,Rodent
1992,NL,F,30,70,Neotoma,albigula,Rodent
1992,NL,M,29,66,Neotoma,albigula,Rodent
1992,NL,F,29,75,Neotoma,albigula,Rodent
1993,NL,M,32,86,Neotoma,albigula,Rodent
1993,NL,F,38,93,Neotoma,albigula,Rodent
1993,NL,F,30,90,Neotoma,albigula,Rodent
1993,NL,F,31,83,Neotoma,albigula,Rodent
1993,NL,M,30,62,Neotoma,albigula,Rodent
1993,NL,M,30,41,Neotoma,albigula,Rodent
1993,NL,M,35,137,Neotoma,albigula,Rodent
1993,NL,M,NA,148,Neotoma,albigula,Rodent
1993,NL,M,32,144,Neotoma,albigula,Rodent
1993,NL,M,35,150,Neotoma,albigula,Rodent
1993,NL,M,32,161,Neotoma,albigula,Rodent
1994,NL,M,32,165,Neotoma,albigula,Rodent
1994,NL,M,35,171,Neotoma,albigula,Rodent
1994,NL,M,35,170,Neotoma,albigula,Rodent
1994,NL,M,34,180,Neotoma,albigula,Rodent
1994,NL,M,35,183,Neotoma,albigula,Rodent
2000,NL,F,32,171,Neotoma,albigula,Rodent
1979,OL,F,19,21,Onychomys,leucogaster,Rodent
1979,OL,F,20,31,Onychomys,leucogaster,Rodent
1979,OL,M,20,35,Onychomys,leucogaster,Rodent
1979,OL,M,22,34,Onychomys,leucogaster,Rodent
1979,OL,F,20,46,Onychomys,leucogaster,Rodent
1979,OL,F,21,32,Onychomys,leucogaster,Rodent
1979,OL,M,22,36,Onychomys,leucogaster,Rodent
1980,OL,M,22,36,Onychomys,leucogaster,Rodent
1982,OL,M,21,42,Onychomys,leucogaster,Rodent
1982,OL,F,21,32,Onychomys,leucogaster,Rodent
1982,OL,M,NA,36,Onychomys,leucogaster,Rodent
1982,OL,M,21,48,Onychomys,leucogaster,Rodent
1983,OL,F,20,37,Onychomys,leucogaster,Rodent
1983,OL,F,20,49,Onychomys,leucogaster,Rodent
1983,OL,M,21,31,Onychomys,leucogaster,Rodent
1983,OL,F,21,27,Onychomys,leucogaster,Rodent
1983,OL,M,20,31,Onychomys,leucogaster,Rodent
1983,OL,F,20,26,Onychomys,leucogaster,Rodent
1983,OL,M,20,32,Onychomys,leucogaster,Rodent
1983,OL,M,19,33,Onychomys,leucogaster,Rodent
1984,OL,M,22,42,Onychomys,leucogaster,Rodent
1984,OL,F,21,34,Onychomys,leucogaster,Rodent
1984,OL,F,20,33,Onychomys,leucogaster,Rodent
1984,OL,M,20,43,Onychomys,leucogaster,Rodent
1984,OL,F,19,34,Onychomys,leucogaster,Rodent
1984,OL,M,21,24,Onychomys,leucogaster,Rodent
1984,OL,M,20,39,Onychomys,leucogaster,Rodent
1984,OL,M,22,41,Onychomys,leucogaster,Rodent
1984,OL,F,21,37,Onychomys,leucogaster,Rodent
1984,OL,F,21,40,Onychomys,leucogaster,Rodent
1984,OL,M,19,35,Onychomys,leucogaster,Rodent
1984,OL,F,19,18,Onychomys,leucogaster,Rodent
1984,OL,M,20,38,Onychomys,leucogaster,Rodent
1984,OL,F,20,36,Onychomys,leucogaster,Rodent
1984,OL,F,20,16,Onychomys,leucogaster,Rodent
1984,OL,F,20,21,Onychomys,leucogaster,Rodent
1985,OL,F,21,32,Onychomys,leucogaster,Rodent
1985,OL,F,19,28,Onychomys,leucogaster,Rodent
1985,OL,F,21,29,Onychomys,leucogaster,Rodent
1985,OL,M,22,32,Onychomys,leucogaster,Rodent
1986,OL,F,20,29,Onychomys,leucogaster,Rodent
1986,OL,M,21,30,Onychomys,leucogaster,Rodent
1986,OL,F,20,26,Onychomys,leucogaster,Rodent
1986,OL,F,20,24,Onychomys,leucogaster,Rodent
1986,OL,M,21,32,Onychomys,leucogaster,Rodent
1987,OL,M,NA,30,Onychomys,leucogaster,Rodent
1988,OL,F,21,35,Onychomys,leucogaster,Rodent
1988,OL,F,20,17,Onychomys,leucogaster,Rodent
1988,OL,F,21,17,Onychomys,leucogaster,Rodent
1988,OL,F,20,18,Onychomys,leucogaster,Rodent
1991,OL,F,19,26,Onychomys,leucogaster,Rodent
1991,OL,F,20,29,Onychomys,leucogaster,Rodent
1991,OL,M,18,24,Onychomys,leucogaster,Rodent
1991,OL,F,21,24,Onychomys,leucogaster,Rodent
1992,OL,F,20,29,Onychomys,leucogaster,Rodent
1992,OL,F,19,23,Onychomys,leucogaster,Rodent
1993,OL,F,20,24,Onychomys,leucogaster,Rodent
1993,OL,F,18,24,Onychomys,leucogaster,Rodent
1995,OL,F,20,24,Onychomys,leucogaster,Rodent
1996,OL,F,23,26,Onychomys,leucogaster,Rodent
1996,OL,F,21,23,Onychomys,leucogaster,Rodent
2002,OL,M,20,24,Onychomys,leucogaster,Rodent
1982,PM,M,20,24,Peromyscus,maniculatus,Rodent
1983,PM,M,22,21,Peromyscus,maniculatus,Rodent
1985,PM,M,18,11,Peromyscus,maniculatus,Rodent
1985,PM,M,19,21,Peromyscus,maniculatus,Rodent
1986,PM,F,20,18,Peromyscus,maniculatus,Rodent
1986,PM,M,20,21,Peromyscus,maniculatus,Rodent
1986,PM,F,20,23,Peromyscus,maniculatus,Rodent
1987,PM,F,19,10,Peromyscus,maniculatus,Rodent
1987,PM,F,20,29,Peromyscus,maniculatus,Rodent
1987,PM,M,20,24,Peromyscus,maniculatus,Rodent
1987,PM,F,17,9,Peromyscus,maniculatus,Rodent
1987,PM,M,20,19,Peromyscus,maniculatus,Rodent
1987,PM,F,18,8,Peromyscus,maniculatus,Rodent
1987,PM,M,20,24,Peromyscus,maniculatus,Rodent
1987,PM,F,20,27,Peromyscus,maniculatus,Rodent
1987,PM,M,21,14,Peromyscus,maniculatus,Rodent
1987,PM,M,21,21,Peromyscus,maniculatus,Rodent
1987,PM,M,20,14,Peromyscus,maniculatus,Rodent
1987,PM,M,19,14,Peromyscus,maniculatus,Rodent
1987,PM,F,NA,15,Peromyscus,maniculatus,Rodent
1987,PM,F,21,25,Peromyscus,maniculatus,Rodent
1987,PM,M,20,27,Peromyscus,maniculatus,Rodent
1987,PM,F,21,27,Peromyscus,maniculatus,Rodent
1987,PM,F,20,24,Peromyscus,maniculatus,Rodent
1988,PM,M,21,27,Peromyscus,maniculatus,Rodent
1988,PM,F,21,27,Peromyscus,maniculatus,Rodent
1988,PM,M,21,25,Peromyscus,maniculatus,Rodent
1988,PM,F,22,11,Peromyscus,maniculatus,Rodent
1988,PM,M,21,12,Peromyscus,maniculatus,Rodent
1988,PM,M,21,26,Peromyscus,maniculatus,Rodent
1995,PM,M,21,24,Peromyscus,maniculatus,Rodent
1996,PM,M,21,19,Peromyscus,maniculatus,Rodent
1997,PM,M,20,22,Peromyscus,maniculatus,Rodent
1997,PM,M,20,17,Peromyscus,maniculatus,Rodent
1997,PM,M,20,19,Peromyscus,maniculatus,Rodent
1997,PM,M,21,24,Peromyscus,maniculatus,Rodent
1998,PM,M,20,21,Peromyscus,maniculatus,Rodent
1999,PM,M,26,22,Peromyscus,maniculatus,Rodent
2002,PM,M,20,19,Peromyscus,maniculatus,Rodent
1982,RF,M,17,12,Reithrodontomys,fulvescens,Rodent
1988,RF,F,20,15,Reithrodontomys,fulvescens,Rodent
1988,RF,F,18,16,Reithrodontomys,fulvescens,Rodent
1989,RF,F,18,16,Reithrodontomys,fulvescens,Rodent
1997,RF,F,17,20,Reithrodontomys,fulvescens,Rodent
1984,PH,F,26,28,Perognathus,hispidus,Rodent
1992,SF,F,NA,49,Sigmodon,fulviventer,Rodent
1993,SF,F,26,61,Sigmodon,fulviventer,Rodent
1997,PL,M,21,19,Peromyscus,leucopus,Rodent
1997,PL,M,20,17,Peromyscus,leucopus,Rodent
1978,NL,F,31,196,Neotoma,albigula,Rodent
1981,NL,M,NA,158,Neotoma,albigula,Rodent
1981,NL,M,33,174,Neotoma,albigula,Rodent
1982,NL,M,31,129,Neotoma,albigula,Rodent
1982,NL,M,33,164,Neotoma,albigula,Rodent
1982,NL,M,NA,183,Neotoma,albigula,Rodent
1982,NL,F,NA,112,Neotoma,albigula,Rodent
1982,NL,M,33,178,Neotoma,albigula,Rodent
1982,NL,F,30,137,Neotoma,albigula,Rodent
1982,NL,M,34,185,Neotoma,albigula,Rodent
1983,NL,F,29,117,Neotoma,albigula,Rodent
1983,NL,F,31,134,Neotoma,albigula,Rodent
1983,NL,F,30,145,Neotoma,albigula,Rodent
1983,NL,F,31,146,Neotoma,albigula,Rodent
1983,NL,M,34,233,Neotoma,albigula,Rodent
1983,NL,F,32,148,Neotoma,albigula,Rodent
1983,NL,F,33,148,Neotoma,albigula,Rodent
1984,NL,M,33,259,Neotoma,albigula,Rodent
1984,NL,M,33,217,Neotoma,albigula,Rodent
